899 7089
239 7 1
240 6 2
241 13 2
241 21 1
241 71 19
241 72 6
241 90 3
241 106 4
241 164 1
241 189 2
241 207 5
241 353 5
241 354 24
242 24 1
242 339 1
242 394 1
243 102 1
244 171 10
245 7 4
245 72 3
245 171 6
246 9 1
246 37 4
246 58 1
246 90 1
247 24 1
248 7 2
248 72 4
248 195 10
248 217 3
248 353 1
249 226 11
249 227 5
250 100 2
250 171 3
250 355 2
251 9 1
251 359 1
252 84 2
253 151 1
253 251 1
254 58 1
255 217 4
255 385 6
256 251 1
257 11 1
257 27 2
257 54 12
258 58 3
258 251 1
258 259 1
258 274 1
258 294 1
259 163 1
259 442 2
260 6 1
260 42 1
261 9 2
261 14 1
261 58 2
261 227 8
261 325 2
262 18 1
263 6 2
263 7 1
263 9 1
263 11 1
263 14 3
263 17 2
263 18 1
263 19 1
263 50 1
263 54 1
263 68 2
263 69 1
263 82 1
263 90 2
263 102 1
263 114 1
263 120 1
263 130 1
263 134 4
263 150 3
263 311 1
263 376 1
263 464 2
264 11 2
264 13 1
264 19 18
264 106 15
264 201 1
264 207 1
264 282 11
264 387 2
264 439 5
264 529 2
265 525 1
266 19 4
266 21 5
266 32 4
266 453 2
267 9 4
267 18 15
267 35 1
267 92 1
267 131 2
267 237 2
267 250 1
267 297 20
267 307 3
267 464 1
268 2 1
268 4 1
268 9 1
268 14 1
268 64 2
268 66 1
269 52 3
269 79 9
270 17 1
270 18 1
270 442 1
270 468 1
270 490 1
271 114 2
271 131 4
271 133 7
271 193 1
271 247 2
272 9 1
272 29 1
272 49 2
272 73 2
272 169 1
272 182 1
272 198 1
272 205 1
272 247 4
272 250 2
272 251 4
272 252 5
272 254 4
273 42 2
273 54 2
273 57 4
273 93 2
273 126 1
273 162 1
273 168 4
273 180 4
273 236 1
273 239 5
273 242 1
273 290 1
273 346 1
273 361 1
273 464 4
274 7 14
274 12 36
274 17 28
274 39 11
274 58 45
274 74 13
274 79 16
274 116 73
274 127 22
274 136 13
274 162 14
274 184 38
274 193 13
274 198 5
274 206 2
274 207 34
274 236 21
274 346 17
274 428 1
274 434 6
275 19 3
275 106 3
275 124 5
275 162 1
275 190 1
275 194 2
275 374 1
275 430 1
275 488 1
276 13 18
276 18 5
276 48 1
276 53 12
276 54 1
276 68 1
276 72 8
276 90 2
276 100 1
276 120 1
276 125 2
276 150 1
276 185 1
276 195 9
276 205 1
276 207 1
276 239 1
276 280 1
276 290 1
276 353 2
276 354 1
276 392 6
276 442 1
276 443 1
276 456 5
276 481 11
277 7 2
277 12 2
277 14 1
277 31 1
277 50 1
277 80 10
277 88 4
277 116 1
277 130 1
277 131 8
277 188 1
277 191 2
277 196 2
277 229 6
277 311 1
277 329 3
278 58 1
279 102 2
280 2 2
280 9 1
280 31 1
280 36 6
280 54 3
280 95 6
280 167 1
280 188 1
281 7 4
281 16 7
281 36 4
281 42 22
281 48 28
281 54 14
281 55 29
281 56 8
281 66 27
281 96 7
281 160 7
281 168 45
281 177 5
281 198 1
281 214 9
281 239 2
281 249 10
281 315 1
281 327 5
281 333 1
281 338 1
281 340 3
281 422 3
281 485 6
281 540 2
282 7 1
282 21 3
282 28 2
282 80 1
282 131 1
282 159 1
283 25 1
283 43 3
283 63 2
283 200 2
283 487 1
284 7 2
284 14 2
284 91 1
284 108 2
284 120 1
284 126 3
284 167 3
284 168 1
284 217 3
284 259 4
284 275 5
284 277 4
284 322 1
284 378 1
284 385 1
284 386 1
284 399 1
284 410 1
284 482 3
284 531 2
285 9 1
286 11 2
286 12 43
286 16 3
286 17 25
286 18 14
286 19 7
286 58 10
286 59 8
286 81 33
286 92 22
286 105 9
286 106 6
286 170 1
286 194 3
286 248 9
286 288 3
286 324 8
286 357 43
286 391 4
286 395 1
286 441 1
287 2 1
287 74 1
288 24 1
289 2 4
289 6 8
289 9 15
289 10 4
289 11 2
289 15 1
289 19 1
289 21 22
289 24 2
289 25 4
289 26 4
289 27 2
289 29 2
289 52 2
289 67 7
289 68 10
289 69 5
289 81 6
289 90 3
289 94 12
289 108 2
289 113 1
289 120 4
289 124 4
289 134 9
289 136 1
289 137 9
289 176 1
289 178 3
289 179 8
289 181 28
289 182 27
289 183 1
289 185 24
289 186 3
289 188 5
289 192 3
289 197 5
289 207 26
289 212 2
289 213 1
289 226 6
289 227 4
289 231 3
289 232 1
289 236 9
289 240 31
289 247 1
289 250 9
289 251 10
289 288 8
289 293 7
289 303 12
289 312 24
289 330 1
289 332 18
289 334 15
289 336 6
289 366 7
289 377 1
289 383 8
289 389 1
289 405 18
289 459 13
289 463 8
289 475 6
289 512 19
289 523 3
289 527 10
289 528 17
290 11 1
290 28 3
290 47 2
290 59 4
290 81 1
290 86 2
290 100 9
290 148 3
290 248 2
290 251 2
291 300 1
291 422 1
292 192 5
293 136 8
293 181 4
293 272 1
294 91 1
294 100 1
294 180 2
294 193 1
294 415 2
295 193 1
295 392 2
295 461 1
296 13 2
296 18 4
296 50 11
296 71 1
296 72 2
296 90 1
296 92 2
296 153 2
296 182 1
296 187 1
296 203 2
296 353 2
296 392 7
296 395 14
297 11 15
297 18 1
297 28 1
297 35 4
297 48 10
297 68 2
297 69 2
297 100 1
297 110 4
297 114 2
297 124 13
297 174 3
297 385 4
297 464 1
297 481 1
297 530 1
298 15 1
298 56 2
298 80 1
298 192 1
298 194 1
298 197 1
298 497 1
298 533 2
299 9 8
299 18 2
299 72 7
299 90 2
299 121 1
299 150 1
299 207 2
299 212 3
299 256 7
299 307 1
299 344 1
299 357 1
300 27 8
300 80 4
300 419 18
301 87 2
301 501 4
302 2 1
302 188 1
303 12 1
303 59 1
303 81 1
303 200 1
303 288 2
303 311 1
303 500 3
304 50 2
304 270 2
305 1 1
305 5 3
305 12 1
305 15 2
305 16 1
305 17 1
305 23 1
305 26 1
305 42 2
305 68 1
305 126 1
305 130 2
305 192 1
305 195 1
305 250 3
305 487 1
306 2 1
306 9 1
306 188 1
307 3 1
307 50 2
307 198 1
307 328 2
307 344 3
308 120 11
308 207 1
309 7 2
310 2 11
310 9 4
310 14 1
310 58 3
310 74 5
310 114 2
310 120 1
310 164 3
310 272 1
310 290 1
310 344 1
310 351 2
310 427 1
311 9 2
311 52 4
311 71 3
311 201 7
311 237 2
311 354 2
311 365 1
311 367 6
312 9 4
312 23 7
312 26 2
312 36 1
312 49 2
312 52 1
312 58 1
312 74 9
312 121 2
312 193 1
313 17 1
313 18 2
313 81 1
313 192 2
313 225 1
313 238 1
313 443 1
314 71 1
315 6 10
315 12 8
315 18 10
315 23 1
315 26 2
315 36 6
315 48 1
315 71 4
315 92 2
315 192 11
315 361 6
315 421 5
316 13 1
316 23 10
316 26 6
316 49 3
316 74 9
316 193 1
317 193 1
317 264 4
318 9 5
318 11 4
318 12 1
318 14 1
318 15 2
318 17 5
318 19 1
318 34 2
318 74 5
318 81 1
318 100 1
318 114 2
318 116 3
318 127 3
318 130 4
318 131 3
318 134 1
318 163 1
318 174 10
318 181 1
318 190 2
318 193 2
318 198 1
318 200 1
318 207 1
318 236 1
318 290 1
318 311 3
318 385 1
318 442 1
319 69 1
319 311 1
320 18 3
320 43 1
320 47 2
320 48 5
320 50 1
320 85 3
320 92 7
320 100 4
320 190 9
320 200 6
320 228 2
320 384 1
320 456 19
320 487 2
321 6 1
321 67 3
321 81 1
321 90 1
321 238 3
321 368 1
321 410 8
322 7 16
322 11 4
322 15 8
322 19 19
322 42 7
322 81 25
322 90 1
322 106 6
322 122 5
322 124 10
322 130 5
322 131 1
322 184 13
322 277 2
322 294 17
322 300 4
322 318 21
322 402 12
322 494 9
322 538 1
322 549 1
322 551 3
323 44 1
324 11 12
324 12 78
324 15 1
324 18 16
324 19 1
324 42 11
324 53 29
324 56 8
324 57 6
324 61 31
324 77 5
324 93 3
324 112 9
324 177 1
324 249 9
324 288 5
324 293 6
324 315 2
324 352 23
324 426 8
324 427 2
324 471 5
325 18 1
325 92 1
325 121 2
325 131 1
325 175 1
325 207 2
325 312 1
325 385 2
326 11 1
326 12 8
326 15 1
326 17 7
326 19 5
326 43 9
326 59 4
326 61 6
326 63 10
326 68 12
326 77 4
326 96 2
326 101 5
326 106 2
326 126 1
326 127 1
326 169 6
326 174 1
326 203 1
326 207 6
326 228 8
326 243 4
326 254 1
326 280 1
326 288 14
326 291 2
326 322 1
326 376 1
326 384 1
326 386 1
326 402 1
326 429 1
326 452 6
326 464 1
326 488 10
327 11 1
328 9 2
328 58 5
328 140 4
328 150 3
328 264 2
328 365 2
329 3 1
329 6 1
329 12 4
329 18 1
329 33 7
329 34 2
329 41 2
329 49 8
329 74 2
329 84 1
329 120 1
329 192 1
329 237 7
329 244 2
329 247 1
329 296 1
329 307 4
329 499 6
330 9 1
330 74 1
330 140 1
330 193 1
330 201 1
330 361 1
330 496 3
330 497 3
331 6 8
331 12 1
331 30 4
331 46 2
331 47 4
331 67 12
331 84 11
331 91 3
331 100 1
331 120 1
331 140 7
331 151 13
331 155 6
331 163 8
331 177 1
331 220 1
331 274 1
331 290 2
331 346 1
331 414 2
331 442 7
331 460 1
331 464 1
331 476 9
331 487 5
332 48 1
332 66 14
332 96 2
332 168 6
332 198 1
332 249 1
332 422 1
332 485 3
333 9 1
333 14 1
333 15 1
333 192 1
333 196 2
333 217 1
333 238 1
333 344 1
334 9 2
334 11 8
334 24 4
334 47 3
334 48 4
334 100 5
334 148 5
334 171 2
335 2 1
335 160 1
335 187 1
335 200 3
335 236 1
335 314 3
336 100 1
336 406 2
336 525 2
337 1 3
337 29 7
337 30 4
337 36 3
337 42 1
337 48 1
337 57 1
337 90 1
337 95 8
337 122 1
337 167 3
337 197 2
337 307 1
337 380 2
337 383 2
337 474 3
337 507 1
338 51 4
338 90 1
338 91 1
338 108 1
338 114 3
338 140 1
338 163 5
338 236 2
338 257 3
339 10 2
339 12 8
339 17 3
339 18 3
339 68 17
339 185 2
339 225 1
339 238 3
339 250 9
339 270 1
340 1 2
340 21 1
340 74 1
341 48 4
341 69 1
341 83 2
341 86 2
341 162 6
341 294 1
341 362 2
341 464 3
341 483 3
342 9 5
342 17 18
342 19 2
342 27 41
342 61 13
342 81 12
342 90 2
342 106 2
342 108 49
342 114 3
342 115 2
342 116 28
342 119 13
342 130 3
342 140 38
342 149 2
342 201 1
342 236 4
342 244 2
342 312 4
342 364 1
342 386 7
342 411 1
342 437 15
343 12 1
343 46 1
343 49 21
343 131 1
343 150 2
343 242 2
343 247 4
344 2 1
344 9 1
344 14 1
345 9 2
345 16 3
345 17 2
345 27 27
345 60 1
345 61 18
345 77 2
345 83 1
345 93 1
345 94 11
345 99 1
345 106 3
345 108 54
345 114 2
345 116 72
345 118 1
345 119 32
345 126 2
345 127 2
345 140 27
345 149 2
345 165 21
345 166 28
345 190 1
345 217 4
345 307 5
345 311 1
345 364 14
345 386 10
345 419 9
345 437 41
345 497 8
345 523 4
345 528 3
346 67 1
346 74 10
346 85 2
346 121 7
346 130 6
346 158 4
346 193 5
346 236 2
346 272 2
346 400 1
347 21 1
348 7 17
348 12 3
348 14 3
348 21 11
348 92 2
348 130 5
348 150 4
348 185 2
348 190 4
348 203 4
348 217 64
348 241 12
348 281 4
348 310 1
348 385 2
348 481 2
348 496 2
349 9 1
349 12 1
349 15 3
349 17 6
349 45 3
349 76 1
349 77 8
349 90 1
349 140 9
349 150 3
349 274 1
349 282 3
349 365 2
350 2 10
350 9 5
350 14 1
350 28 9
350 74 3
350 81 2
350 120 1
350 174 2
350 376 3
351 2 1
351 188 1
352 69 3
352 86 1
353 6 2
353 47 2
353 69 3
353 81 2
353 238 1
353 259 1
353 268 4
353 290 5
353 346 2
353 355 2
353 470 1
354 351 4
354 439 46
355 8 3
355 9 1
355 12 3
355 58 1
356 24 2
356 377 23
357 11 18
357 12 20
357 16 13
357 19 7
357 58 23
357 81 32
357 92 8
357 100 13
357 102 5
357 106 87
357 122 1
357 194 19
357 282 6
357 288 1
357 316 2
357 363 15
357 391 2
357 411 1
357 424 7
358 28 1
358 519 1
359 11 3
359 12 2
359 86 5
359 92 3
359 94 7
359 224 2
359 366 2
359 391 2
359 393 1
359 407 13
359 433 4
359 481 1
360 12 1
360 62 1
360 251 1
361 2 7
361 11 4
361 19 2
361 28 7
361 91 1
361 163 3
361 165 11
361 188 1
361 198 1
361 318 1
361 354 36
361 417 4
361 442 7
361 476 1
361 488 2
362 12 2
362 17 1
362 21 1
362 23 2
362 35 2
362 68 1
362 77 1
362 84 1
362 90 2
362 127 2
362 155 1
362 159 1
362 174 1
362 185 2
362 207 1
362 260 1
362 302 2
362 323 1
362 376 1
363 430 1
364 2 1
365 402 1
366 12 3
367 4 1
367 12 1
367 24 5
367 46 5
367 59 1
367 73 10
367 86 1
367 101 1
367 102 1
367 148 2
367 248 5
367 290 3
367 349 1
368 67 1
368 90 1
368 121 1
368 191 1
368 265 3
368 280 1
369 42 1
369 56 1
369 126 1
369 249 2
369 312 1
369 411 1
369 459 2
370 9 4
370 174 1
370 297 16
370 372 1
371 12 2
371 59 1
371 90 1
371 95 3
371 140 7
371 167 1
371 310 1
371 324 1
371 376 3
372 14 2
372 77 1
372 101 3
372 108 1
372 130 1
372 207 1
372 213 1
372 273 1
372 275 1
372 277 1
372 322 1
372 386 1
372 387 1
372 398 1
372 411 1
372 490 2
373 13 3
373 17 1
373 18 1
373 19 20
373 40 8
373 106 5
373 108 22
373 127 1
373 217 3
373 307 1
373 319 4
373 437 4
373 528 1
374 121 10
374 198 4
374 207 3
374 265 24
374 272 1
374 280 5
374 333 3
374 422 9
375 35 8
375 81 2
375 114 1
376 1 1
376 7 6
376 9 3
376 11 1
376 12 3
376 14 2
376 17 1
376 18 9
376 34 4
376 50 1
376 54 6
376 58 1
376 68 1
376 81 1
376 90 5
376 91 1
376 92 2
376 124 1
376 130 2
376 134 1
376 178 4
376 179 2
376 180 4
376 181 1
376 182 2
376 183 1
376 184 3
376 185 3
376 187 3
376 188 1
376 192 2
376 197 2
376 210 8
376 222 2
376 240 1
376 250 1
376 251 2
376 307 1
376 310 1
376 330 3
376 332 1
376 377 2
376 463 1
376 527 1
376 534 1
377 1 1
377 9 1
377 12 1
377 24 1
377 48 1
377 50 1
377 54 2
377 90 2
377 92 1
377 94 1
377 124 1
377 130 1
377 137 1
377 178 1
377 181 1
377 182 2
377 183 1
377 185 1
377 186 1
377 187 1
377 188 1
377 197 1
377 210 1
377 222 5
377 223 1
377 312 1
377 366 2
377 377 6
378 50 3
378 182 1
378 185 2
378 250 1
379 17 1
379 84 1
379 92 2
379 125 1
379 129 1
379 166 5
379 203 1
379 224 3
379 242 2
379 260 2
379 290 2
379 333 1
379 360 7
379 361 1
379 378 6
380 40 4
380 75 3
380 77 1
380 81 21
380 82 1
380 90 5
380 91 1
380 102 27
380 114 2
380 125 1
380 189 1
380 251 16
380 332 25
380 362 1
380 363 21
380 388 5
380 398 3
380 407 9
380 475 15
380 528 2
380 529 2
381 74 1
381 182 3
381 193 2
381 250 1
381 481 3
382 58 2
382 74 3
382 81 2
382 115 1
382 124 2
382 160 3
382 193 1
382 406 1
383 224 2
383 360 2
383 391 2
383 407 11
384 108 29
384 140 14
385 15 1
386 12 1
387 27 1
387 46 1
388 9 6
388 15 2
388 17 2
388 23 1
388 28 8
388 52 3
388 66 4
388 81 3
388 86 7
388 90 6
388 109 2
388 117 4
388 125 1
388 152 8
388 236 2
388 273 3
388 290 2
388 294 2
388 305 6
388 333 3
388 344 1
388 363 3
388 366 1
388 378 4
388 385 3
388 386 3
388 411 1
388 473 2
388 484 2
388 485 3
388 486 1
388 515 1
389 18 5
389 35 3
389 83 16
389 236 1
389 256 17
389 302 15
389 340 5
389 361 16
389 366 1
389 418 11
389 464 1
390 27 2
391 2 15
391 3 1
391 9 7
391 14 2
391 75 5
391 131 7
391 158 4
391 184 2
391 185 1
391 187 1
391 188 1
391 196 3
391 207 1
391 229 8
391 236 7
391 290 1
391 292 1
391 385 8
391 437 1
391 532 2
392 124 2
392 198 1
392 205 1
393 15 1
393 37 1
393 235 1
394 3 11
394 28 2
394 139 1
394 226 7
394 312 1
394 341 3
394 350 1
395 154 5
395 177 7
395 355 1
396 9 1
396 15 1
396 17 1
396 18 3
396 19 1
396 52 1
396 90 1
396 106 1
396 136 1
396 207 1
397 7 1
397 14 1
397 58 1
397 106 2
397 140 1
397 365 1
398 23 4
398 36 2
398 154 1
398 192 4
398 225 1
398 239 1
398 270 2
398 288 1
398 380 2
398 382 5
399 8 2
399 18 1
399 19 1
399 174 2
400 15 1
400 19 3
400 26 1
400 98 2
400 125 1
400 193 5
400 268 1
400 290 2
400 305 2
400 333 3
400 344 7
400 363 1
400 378 1
400 384 1
400 391 1
400 484 1
400 485 1
400 486 1
400 515 1
401 8 6
402 9 1
402 10 1
402 18 4
403 7 7
403 11 4
403 15 9
403 19 7
403 58 7
403 59 5
403 61 1
403 74 6
403 100 4
403 106 19
403 124 10
403 130 6
403 151 1
403 162 6
403 170 1
403 193 3
403 201 13
403 217 9
403 232 5
403 236 5
403 273 1
403 277 7
403 285 5
403 316 4
403 322 5
403 324 1
403 334 13
403 363 8
403 413 6
403 450 7
403 469 4
403 474 7
403 491 2
404 15 1
404 18 3
404 31 1
404 92 2
404 102 2
404 242 7
404 420 1
404 525 2
405 525 1
406 72 3
406 81 18
406 83 4
406 91 1
406 95 1
406 112 18
406 207 1
406 287 1
406 318 28
406 321 14
407 11 8
407 74 1
407 100 1
407 101 1
407 151 4
407 162 3
407 168 9
407 172 1
407 194 1
407 274 3
407 294 1
407 363 4
407 386 2
407 414 4
407 539 1
407 540 4
408 58 10
408 120 2
408 121 3
408 207 4
409 2 3
409 27 3
409 86 1
409 134 1
409 237 1
410 109 2
410 165 4
410 327 4
411 36 1
411 52 1
411 98 1
411 317 1
412 9 1
412 12 1
412 33 7
412 67 5
412 81 4
412 127 4
412 158 2
412 170 1
412 349 1
412 356 1
412 364 6
412 398 5
412 435 1
412 525 5
412 530 3
413 91 1
414 30 1
414 58 2
414 117 4
414 134 2
415 7 2
415 38 1
415 74 1
415 198 2
416 10 1
417 9 1
417 37 1
417 113 1
418 9 4
418 11 6
418 12 1
418 90 2
418 103 12
418 109 1
418 134 6
418 185 2
418 198 1
418 219 2
418 252 1
418 280 1
418 328 2
418 337 10
419 40 9
419 120 2
419 150 4
419 225 6
419 474 1
420 6 1
420 19 1
420 132 1
420 191 1
420 300 2
420 324 1
421 6 1
421 16 2
421 48 16
421 55 2
421 57 8
421 67 7
421 80 14
421 177 3
421 190 2
421 249 10
421 272 2
421 304 2
421 315 4
421 327 10
421 361 7
421 368 4
421 369 24
421 370 36
422 17 5
422 40 1
422 45 2
422 86 2
422 97 3
422 99 6
422 105 1
422 138 1
422 318 1
422 322 2
423 11 1
423 49 2
423 367 1
423 443 3
423 444 1
424 184 1
425 217 1
426 21 1
426 185 1
427 7 1
427 9 3
427 121 1
427 130 1
427 378 1
427 389 1
427 393 1
427 394 3
428 97 1
428 248 4
428 313 2
428 358 1
429 35 1
429 71 2
429 395 2
430 11 13
430 114 1
430 281 1
430 390 5
430 474 5
430 525 1
431 11 2
431 58 2
431 71 2
431 102 1
431 134 14
431 135 3
431 324 5
431 325 8
432 2 6
432 15 3
432 90 4
432 102 2
432 116 5
432 151 2
432 200 7
433 19 3
433 35 1
433 85 3
433 108 2
433 150 1
433 207 1
433 312 1
433 361 2
433 366 1
433 392 1
433 497 1
434 7 2
434 20 6
434 21 2
434 36 3
434 42 7
434 49 1
434 56 1
434 75 2
434 92 2
434 135 1
434 181 1
435 1 1
435 18 16
435 21 2
435 67 2
435 207 1
436 7 1
436 14 1
436 15 1
436 92 2
436 120 2
436 122 1
436 134 5
436 150 8
436 210 1
436 271 2
436 282 2
436 347 1
436 525 1
436 530 2
437 12 1
437 18 2
437 73 3
437 92 1
437 261 1
437 272 1
437 366 2
437 391 2
437 407 2
438 14 1
438 21 1
439 80 5
439 106 2
439 304 4
439 383 1
439 518 2
440 9 9
440 36 4
440 42 10
440 50 6
440 55 16
440 56 14
440 58 8
440 85 1
440 95 4
440 97 1
440 116 11
440 122 1
440 168 29
440 190 26
440 192 4
440 200 5
440 217 31
440 231 17
440 241 6
440 256 7
440 264 17
440 268 5
440 295 41
440 314 2
440 319 1
440 361 4
440 377 16
440 382 1
440 422 17
440 456 34
440 485 1
440 487 8
440 489 1
441 101 1
442 10 3
442 47 1
442 58 1
442 71 2
443 7 1
444 81 1
444 85 1
444 130 1
445 74 1
445 75 1
445 193 1
445 304 1
446 74 9
446 81 4
446 85 6
446 92 3
446 121 1
446 191 2
446 272 5
446 290 6
446 361 1
446 517 1
446 523 7
447 90 1
447 174 1
447 244 2
448 11 2
449 12 1
449 13 7
449 18 1
449 31 8
449 32 1
449 72 8
449 90 3
449 182 2
449 195 1
449 353 1
450 71 3
450 110 2
451 42 4
451 70 2
451 117 3
451 180 1
451 287 2
451 375 2
451 382 3
451 496 1
452 193 1
453 11 2
453 17 1
453 74 2
453 86 2
453 97 6
453 138 1
453 322 1
454 1 1
454 6 7
454 12 2
454 15 2
454 21 2
454 39 1
454 74 6
454 102 5
454 192 16
454 193 4
454 296 5
454 300 16
454 314 3
454 401 1
454 421 1
454 466 1
455 58 1
456 492 2
457 473 1
458 240 1
459 7 1
459 62 2
459 151 2
459 154 1
459 192 1
459 193 2
459 198 1
459 225 1
459 238 1
459 283 1
460 11 12
460 23 7
460 86 3
460 121 2
460 134 1
460 294 2
461 7 15
461 15 7
461 42 1
461 62 9
461 91 5
461 172 19
461 193 3
461 311 1
462 19 2
462 42 1
462 106 3
462 162 1
462 177 4
462 266 3
462 294 1
462 316 2
462 363 6
462 385 1
462 391 3
463 154 1
463 192 1
463 225 1
463 280 2
463 355 22
463 413 15
463 505 1
464 2 2
464 12 8
464 14 1
464 18 3
464 34 14
464 127 2
464 131 6
464 190 1
464 192 5
464 296 1
464 300 5
464 354 6
464 499 1
464 500 2
464 504 1
464 510 2
464 512 8
465 31 3
465 42 1
465 48 1
465 53 3
465 100 4
465 153 2
465 162 5
465 177 3
465 184 4
465 218 1
465 231 4
465 244 2
465 280 2
465 300 2
465 312 1
465 321 9
465 322 5
465 374 3
465 384 2
465 385 2
465 386 8
465 512 2
466 80 3
466 251 1
466 296 1
467 23 11
467 78 1
467 125 1
467 149 5
467 190 11
467 217 5
467 231 6
467 310 4
467 485 4
468 192 1
469 16 7
469 51 3
469 65 1
469 84 5
469 91 1
469 109 1
469 116 1
469 154 3
469 163 3
469 232 1
469 236 2
469 395 1
469 430 1
469 442 10
469 511 1
470 49 1
470 58 3
471 130 2
471 281 4
472 35 14
472 81 10
472 106 4
472 124 2
472 204 2
472 272 5
472 304 1
472 388 7
472 406 5
473 12 2
474 89 1
475 9 1
475 118 1
475 130 1
476 15 1
476 376 1
476 388 6
476 450 2
477 23 19
477 190 1
478 67 5
478 242 1
479 81 2
479 457 1
480 18 1
481 11 9
481 16 17
481 19 4
481 100 7
481 105 1
481 151 5
481 153 1
481 194 10
481 240 1
481 244 6
481 277 1
481 288 11
481 378 7
481 402 3
481 442 6
481 495 1
482 10 1
482 69 1
482 70 3
482 99 2
482 495 2
483 406 2
484 14 1
484 50 1
484 114 1
485 9 1
485 46 1
485 59 1
485 95 1
485 167 1
486 7 1
486 12 1
486 46 2
486 116 1
486 169 2
487 12 1
487 46 4
487 134 15
487 135 2
487 169 2
487 325 2
488 9 1
488 12 1
488 18 1
488 27 1
488 31 1
488 58 1
489 11 5
490 1 2
490 7 1
490 36 3
490 46 3
490 134 3
490 281 2
490 310 1
490 440 1
491 294 1
491 303 14
492 10 1
492 12 10
492 17 1
492 18 1
493 62 2
494 67 1
494 71 2
494 75 1
494 135 1
494 205 3
494 244 2
494 312 1
494 523 1
495 88 7
496 159 1
497 9 4
497 11 3
497 14 1
497 15 1
497 117 8
497 134 12
497 136 1
498 13 1
498 18 1
498 32 1
498 72 1
498 90 1
498 353 1
499 500 1
500 6 1
500 12 4
500 15 3
500 31 4
500 48 5
500 69 2
500 75 5
500 92 1
500 99 3
500 114 4
500 251 11
500 315 1
500 347 2
501 42 4
501 51 1
501 198 1
502 21 2
502 67 2
502 68 1
502 90 1
502 185 1
502 217 1
502 280 1
503 9 1
503 48 1
503 58 1
503 131 1
503 182 4
503 207 1
504 7 1
504 88 2
504 97 1
505 9 1
505 21 1
505 37 1
505 92 1
505 134 1
505 154 1
505 185 1
505 192 1
505 207 1
505 225 1
505 382 1
506 443 1
507 10 3
507 19 1
507 34 2
507 74 1
507 102 4
508 407 2
509 10 19
509 15 2
509 58 5
509 81 1
509 102 1
509 251 8
509 320 5
510 7 1
510 11 2
510 15 1
510 29 4
510 58 2
510 122 2
510 307 1
510 320 2
511 11 1
511 16 3
511 19 1
511 38 10
511 101 3
511 304 1
511 426 2
512 241 1
513 17 1
513 53 3
513 125 2
513 280 1
513 288 1
513 378 2
513 422 2
513 497 3
514 16 1
514 18 9
514 19 4
514 28 4
514 31 1
514 36 2
514 42 1
514 48 2
514 53 1
514 58 6
514 66 1
514 85 2
514 106 30
514 116 5
514 177 10
514 265 2
514 271 5
514 293 1
514 314 1
514 344 3
514 370 1
514 439 15
514 532 1
515 110 1
516 9 2
516 36 1
516 50 1
516 103 5
516 337 3
516 362 2
517 217 1
518 40 1
518 64 1
518 406 1
518 435 1
519 7 1
519 14 1
519 19 1
519 59 2
519 67 8
519 84 3
519 106 1
519 120 2
519 130 6
519 201 3
519 205 1
519 207 2
519 236 2
519 242 1
519 244 2
519 280 5
519 323 2
519 464 5
520 20 13
520 23 4
520 134 2
521 12 1
522 13 1
523 6 6
523 17 1
523 84 1
523 166 1
523 421 1
524 264 2
525 11 6
525 42 2
525 73 5
525 81 1
525 92 19
525 386 5
525 390 12
526 3 7
526 9 7
526 36 6
526 54 2
526 66 4
526 74 2
526 85 2
527 310 4
527 336 3
527 487 1
528 9 2
528 12 2
528 14 1
528 17 3
528 58 1
528 103 3
528 238 6
529 21 1
529 58 3
529 90 2
529 91 3
530 9 1
530 37 1
530 74 1
531 37 1
532 9 2
532 131 4
532 227 3
533 1 1
533 6 1
533 7 11
533 12 1
533 13 6
533 18 2
533 20 7
533 21 9
533 23 2
533 36 15
533 40 1
533 42 10
533 49 1
533 50 2
533 74 13
533 92 11
533 109 1
533 132 15
533 150 4
533 185 7
533 193 9
533 207 2
533 219 1
533 260 5
533 422 1
534 2 1
534 105 1
534 150 2
534 219 1
535 2 18
535 4 19
535 9 12
535 188 9
535 236 8
535 293 17
535 361 1
535 378 1
535 437 2
535 443 1
535 524 3
535 532 2
536 14 4
536 15 1
536 19 12
536 89 40
536 90 3
536 91 5
536 93 3
536 130 2
536 201 3
536 260 1
536 290 11
536 300 1
536 312 2
536 354 5
536 361 1
536 366 2
536 418 2
536 422 2
536 433 2
536 442 1
536 464 2
536 473 1
536 497 5
537 23 17
537 48 3
537 250 30
537 254 1
537 285 5
537 293 5
537 325 2
537 427 1
537 446 2
537 474 6
537 493 3
538 12 2
538 49 4
538 51 2
538 81 1
538 87 9
538 88 5
538 92 10
538 106 2
538 107 2
538 134 1
538 136 3
538 158 3
538 170 1
538 189 1
538 192 1
538 235 1
538 272 10
538 274 1
538 282 5
538 289 1
538 302 15
538 303 5
538 333 1
538 371 2
538 387 8
538 395 1
538 546 3
539 9 16
539 18 2
539 48 17
539 58 32
539 95 8
539 136 3
539 264 14
539 351 12
539 361 21
540 242 1
541 175 1
542 68 1
542 74 1
542 81 12
542 85 2
542 86 4
542 97 2
542 118 1
542 138 2
542 314 2
542 373 3
542 461 2
543 85 1
544 132 2
544 207 1
544 395 1
544 464 1
545 63 1
545 124 2
545 200 1
545 238 3
545 452 5
545 488 10
546 198 1
547 103 2
547 251 1
548 2 3
548 3 1
548 28 1
548 74 1
548 100 1
